id,constituent,program,year_standing,lms
001,UP Diliman,BS Statistics,III,UVLe
002,UP Diliman,BS Geology,IV,UVLe;Google Classroom
003,UP Diliman,B Music,V,UVLe;Google Classroom
004,UP Diliman,BS Statistics,IV,UVLe
005,UP Diliman,BS Biology,II,UVLe
006,UP Diliman,BS Statistics,IV,UVLe;Google Classroom
007,UP Diliman,BS Statistics,IV,UVLe
008,UP Manila,BS Nursing,IV,UVLe
009,UP Diliman,BS Mechanical Engineering,II,UVLe;Google Classroom
010,UP Diliman,BS Statistics,IV,UVLe;Google Classroom
011,UP Diliman,BA Creative Writing,IV,UVLe;Google Classroom
012,UP Manila,BS Nursing,IV,UVLe;Canvas
013,UP Diliman,BS Geodetic Engineering,III,UVLe;Google Classroom
014,UP Diliman,BS Statistics,II,UVLe;Instructor's own website
015,UP Diliman,BS Statistics,III,UVLe;Google Classroom;Moodle
016,UP Diliman,BS Statistics,IV,UVLe;Google Classroom
017,UP Diliman,BS Chemistry,II,UVLe;Google Classroom
018,UP Los Banos,BS Nutrition,IV,Google Classroom
019,UP Diliman,BS Statistics ,II,UVLe;Google Classroom
020,UP Diliman,B Public Administration,II,UVLe;Google Classroom
021,UP Diliman,BS Statistics ,II,UVLe;Google Classroom
022,UP Diliman,BS Statistics,III,UVLe;Moodle
023,UP Diliman,BS Business Administration and Accountancy,II,UVLe;Google Classroom
024,UP Diliman,BS Statistics ,II,UVLe;Google Classroom;Moodle
025,UP Los Banos,BS Agriculture,II,Google Classroom;Canvas;Moodle
026,UP Los Banos,BS Biology,II,Google Classroom;Canvas
027,UP Los Banos,BS Agribusiness Management and Entrepreneurship,IV,Google Classroom
028,UP Los Banos,BS Biology,III,Google Classroom;Canvas
029,UP Diliman,BS Geodetic Engineering,III,UVLe;Google Classroom
030,UP Los Banos,BS Agricultural Chemistry,II,eLBI;Google Classroom;Canvas;Moodle
031,UP Diliman,BS Statistics,III,UVLe
032,UP Visayas,BS Computer Science,II,Moodle
033,UP Diliman,BS Statistics ,IV,UVLe;Google Classroom
034,UP Diliman,BS Statistics,III,UVLe;Google Classroom
035,UP Diliman,BS Statistics,IV,UVLe
036,UP Diliman,BS Geodetic Engineering,III,UVLe;Google Classroom
037,UP Diliman,BS Statistics,IV,UVLe;Google Classroom
038,UP Visayas,BS Statistics,II,Moodle
